,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9_4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,M9_4,,1,6,7,6,6,,,,,,,,,,,,,,,,,,
M9_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,M9_5,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
M9_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,M9_6,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
suma,23032,17038,12045,14041,17038,19036,28027,18038,21034,13042,13042,17038,29026,19036,17038,12043,11044,11044,32023,25030,21034,12043,19036,16039,31024,23032,21036,16039,18037,19036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cociente,32,38,45,41,38,36,27,38,34,42,42,38,26,36,38,43,44,44,23,30,34,43,36,39,24,32,36,39,37,36,suma,1091,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,,,,,,,costo,0,,,,,,,,,,,,,,,,,,,,
,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,,,suma,,,suma lunes,suma martes,suma mierc,suma jueves,suma vierne,,,,,,materia,materia,materia,,,,,,,,RESTRICCION ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,,,suma,,HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES
M1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,0,M1_1,,0,0,0,0,0,,,,,,3,0,0,,,3,,3,2,2,2,2,2
M2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,0,M2_1,,0,0,0,0,0,,,,,,3,0,0,,,3,,3,2,2,2,2,2
